Dataset,IQ-TREE LogLikelihood,RAxML LogLikelihood,IQ-TREE Time_Sec,RAxML Time_Sec,Time Difference
BB11001,-932.7975,-932.836726,32.62,1.71,-30.91
BB11002,-2093.2598,-2093.266033,40.27,94.62,54.35
BB11003,-5030.4587,-5030.486832,45.63,9.29,-36.34
BB11004,-4615.7059,-4615.717755,43.39,9.99,-33.4
BB11005,-14634.6412,-14634.64418,55.9,643.54,587.64
BB11006,-5298.2923,-5298.300909,38.17,121.07,82.9
BB11007,-9776.0245,-9776.028744,43.96,213.39,169.43
BB11008,-3382.2207,-3382.253035,38.41,9.65,-28.76
BB11009,-2370.9981,-2371.065408,41.16,8.21,-32.95
BB11010,-5304.0617,-5304.11945,38.13,10.39,-27.74
BB11011,-2747.4402,-2747.448387,37.4,30.54,-6.86
BB11012,-3770.8745,-3770.889402,36.34,10.04,-26.3
BB11013,-968.7549,-968.804671,37.97,11.98,-25.99
BB11014,-8314.7669,-8314.773939,37.69,104.08,66.39
BB11015,-3234.1104,-3234.13131,40.26,4.88,-35.38
BB11016,-10053.8613,-10053.87901,47.11,222.4,175.29
BB11017,-2606.1492,-2606.166216,36.28,8.74,-27.54
BB11018,-20238.2488,-20238.25084,66.4,1122.04,1055.64
BB11019,-8933.7061,-8933.715722,40.41,212.77,172.36
BB11020,-5153.3728,-5153.379659,35.89,120.14,84.25
BB11021,-1246.1784,-1246.218455,35.32,4.02,-31.3
BB11022,-1276.5,-1276.520036,34.37,4.2,-30.17
BB11023,-5733.0518,-5733.059764,38.59,103.81,65.22
BB11024,-4453.3528,-4453.380881,32.82,8.5,-24.32
BB11025,-922.3562,-922.386636,36.09,2.67,-33.42
BB11026,-4677.8854,-4677.928025,35.28,133.31,98.03
BB11027,-4284.2235,-4284.234569,36.98,56.31,19.33
BB11028,-4231.7223,-4231.743111,35.8,174.71,138.91
BB11029,-1096.6443,-1096.678739,34.13,2.11,-32.02
BB11030,-10668.7914,-10668.79794,46.76,609.87,563.11
BB11031,-11255.5932,-11255.59862,41.61,424.34,382.73
BB11032,-6290.1084,-6290.113387,35.54,140.79,105.25
BB11033,-4422.311,-4422.324792,37.97,207.37,169.4
BB11034,-10471.3425,-10471.36005,41.27,188.15,146.88
BB11035,-1306.1514,-1306.187822,30.88,16.29,-14.59
BB11036,-7791.1178,-7791.132925,35.25,168.84,133.59
BB11037,-7277.8673,-7277.88605,38.81,40.96,2.15
BB11038,-7586.3357,-7586.342005,38.53,173.47,134.94
