Dataset ClustalO,Num_Seqs,Length,Avg_Identity_%,Dataset ClustalW,Num_Seqs,Length,Avg_Identity_%
BB11001_o,4,96,16.83,BB11001_w,4,96,17.37
BB11002_o,8,287,8.78,BB11002_w,8,202,9.84
BB11003_o,4,589,15.16,BB11003_w,4,569,14.24
BB11004_o,4,634,11.8,BB11004_w,4,466,10.33
BB11005_o,14,616,10.7,BB11005_w,14,542,10.22
BB11006_o,8,453,9.39,BB11006_w,8,330,9.03
BB11007_o,9,545,14.52,BB11007_w,9,479,14.48
BB11008_o,4,620,6.98,BB11008_w,4,550,8.23
BB11009_o,4,446,8.22,BB11009_w,4,341,7.96
BB11010_o,4,656,15.12,BB11010_w,4,533,13.96
BB11011_o,5,331,8.49,BB11011_w,5,253,8.97
BB11012_o,4,414,19.27,BB11012_w,4,408,20.33
BB11013_o,5,127,7.1,BB11013_w,5,103,8.78
BB11014_o,6,667,18.97,BB11014_w,6,655,18.25
BB11015_o,4,351,18.21,BB11015_w,4,333,16.49
BB11016_o,8,1019,10.82,BB11016_w,8,729,10.56
BB11017_o,4,310,17.64,BB11017_w,4,287,17.53
BB11018_o,14,1195,9.92,BB11018_w,14,915,10.34
BB11019_o,10,481,15.17,BB11019_w,10,430,14.66
BB11020_o,9,296,13.55,BB11020_w,9,274,14.23
BB11021_o,4,183,14.29,BB11021_w,4,143,12.28
BB11022_o,4,227,6.91,BB11022_w,4,205,6.74
BB11023_o,7,452,12.48,BB11023_w,7,412,11.2
BB11024_o,4,709,9.13,BB11024_w,4,482,9.69
BB11025_o,4,121,8.87,BB11025_w,4,116,9.83
BB11026_o,7,929,4.87,BB11026_w,7,910,7.9
BB11027_o,7,452,10.98,BB11027_w,7,432,10.83
BB11028_o,10,258,10.02,BB11028_w,10,233,9.35
BB11029_o,4,148,14.03,BB11029_w,4,143,15.81
BB11030_o,14,528,11.14,BB11030_w,14,402,10.17
BB11031_o,11,938,9.07,BB11031_w,11,620,8.55
BB11032_o,8,550,11.41,BB11032_w,8,505,11.65
BB11033_o,11,380,7.81,BB11033_w,11,267,9.01
BB11034_o,8,1015,11.39,BB11034_w,8,730,10.97
BB11035_o,5,161,12.21,BB11035_w,5,155,15.28
BB11036_o,8,550,13.02,BB11036_w,8,481,12.45
BB11037_o,5,1276,9.12,BB11037_w,5,1199,8.19
BB11038_o,8,735,13.84,BB11038_w,8,656,12.31
